name,ingredients,diet,course,procedure,state,img_url,,,,,,
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,main course,"Step 1:
Rinse 1 cup brown rice in water 2-3 times to remove excess starch.

Step 2:
In a pan, add 3 cups water, 1/2 tsp salt, and 1 tsp oil. Bring to boil.

Step 3:
Add rinsed brown rice and cook on medium flame. Cover with a lid.

Step 4:
Simmer for 30-35 mins until rice is soft and water is absorbed.

Step 5:
Turn off the flame and let it rest for 5 mins. Fluff the rice with a fork.
",Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg/330px-Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg,,,,,,
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,main course,"Step 1 Marinate Chicken
Mix 500g chicken with 1 cup curd, 1 tbsp ginger garlic paste, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, 1 tbsp lemon juice, and salt
Keep aside for 1 hour

Step 2 Fry Chicken
Heat 2 tbsp oil in a pan
Fry marinated chicken until golden brown and cooked

Step 3 Prepare Gravy
In the same pan, heat 2 tbsp butter
Add 1 tbsp ginger garlic paste and sauté for a few seconds
Add 2 chopped onions and fry until golden brown
Add 3 chopped tomatoes and cook until soft
Grind soaked cashew nuts into a paste and add to the mixture
Add 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and salt

Step 4 Blend Gravy
Cool the mixture and blend into a smooth paste
Return to the pan and cook for 5 mins

Step 5 Add Chicken
Add fried chicken pieces to the gravy
Add 1/2 cup fresh cream and 2 tbsp tomato ketchup
Cook for 10 mins

Step 6 Garnish
Sprinkle garam masala and chopped coriander leaves
",NCT of Delhi,https://www.mysavoryadventures.com/wp-content/uploads/2023/04/restaurant-style-butter-chicken-768x1024.jpg,,,,,,
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,main course,"Step 1:
Boil 1 cup soaked chickpeas in a pressure cooker with 3 cups water and salt for 4-5 whistles or until soft. (Skip if using canned chickpeas).

Step 2:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter.

Step 3:
Add 1 chopped onion and sauté until golden brown. Add 1 tsp ginger-garlic paste and 1 chopped green chili, sauté for 1 minute.

Step 4:
Add 2 chopped tomatoes, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and 1 tsp cumin powder. Cook until tomatoes are soft and oil separates.

Step 5:
Add boiled chickpeas along with water, mix well, and simmer for 10-12 mins until thick gravy forms.

Step 6:
Sprinkle 1 tsp chana masala or garam masala and garnish with fresh coriander leaves.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/kala-chana-recipe-1-500x500.jpg,,,,,,
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,main course,"Step 1:
In a bowl, mix 2 cups whole wheat flour and 1/2 tsp salt.

Step 2:
Gradually add 3/4 cup water and knead into a soft dough. Add 1 tsp oil if needed. Rest the dough for 20-30 mins.

Step 3:
Divide the dough into small balls and roll each ball into thin round chapati.

Step 4:
Heat a tawa or pan. Cook each chapati for 30-40 secs on one side until bubbles appear, flip and cook for 30-40 secs on the other side.

Step 5:
Flip again and press lightly with a spatula until it puffs up.

Step 6:
Serve hot with curry, sabzi, or dal.
",Maharashtra,https://www.vegrecipesofindia.com/wp-content/uploads/2014/07/khoya-matar-makhana-recipe-500x500.jpg,,,,,,
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,main course,"Step 1:
Marinate 500g chicken with ½ cup yogurt, 1 tbsp ginger paste, 1 tbsp garlic paste, ½ tsp turmeric powder, 1 tsp white pepper powder, and salt to taste. Let it rest for 30 minutes.

Step 2:
Grind 1 tbsp poppy seeds and 8 cashew nuts into a fine paste using a little water. Set aside.

Step 3:
Heat 2 tbsp ghee in a pan and add 2 bay leaves, 1-inch cinnamon stick, 3 cloves, 3 green cardamoms, and 6 black peppercorns. Sauté for a few seconds until aromatic.

Step 4:
Add 2 medium sliced onions and sauté until soft and translucent (not browned).

Step 5:
Add the marinated chicken and cook on medium heat until it turns white and releases moisture.

Step 6:
Pour the poppy seed-cashew paste into the pan and mix well. Cook for 3-4 minutes until the raw smell disappears.

Step 7:
Add ¼ cup water, cover the pan, and let the chicken cook on low heat for 15-20 minutes, stirring occasionally.

Step 8:
Once the chicken is fully cooked, add 1 tsp garam masala, 1 tsp kewra water, and ½ tsp sugar for a balanced flavor.

Step 9:
Pour in ¼ cup fresh cream and mix well. Simmer for 2-3 minutes until you get a creamy consistency.

Step 10:
Garnish with 2 tbsp chopped fresh coriander leaves and serve hot with naan, paratha, or steamed rice.",West Bengal,https://c.ndtvimg.com/2018-11/kecu2hpg_bhatti-da-murg_625x300_16_November_18.jpg,,,,,,
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,main course,"Step 1:
Marinate 500g boneless chicken cubes with ½ cup thick yogurt, 1 tbsp ginger-garlic paste, 1 tsp red chili powder, ½ tsp turmeric powder, 1 tsp cumin powder, 1 tsp garam masala, 1 tsp lemon juice, 1 tbsp oil, and salt to taste. Mix well and refrigerate for at least 1 hour (or overnight for best flavor).

Step 2:
Preheat a grill pan or oven. Skewer the marinated chicken and grill or bake at 200°C (400°F) for 15-20 minutes, flipping halfway, until slightly charred and cooked through. Set aside.

Step 3:
Heat 2 tbsp butter or oil in a pan. Add 1 large finely chopped onion and sauté until golden brown.

Step 4:
Add 1 tbsp ginger-garlic paste and sauté for 1-2 minutes until fragrant.

Step 5:
Pour in 2 large pureed tomatoes and cook until the oil starts to separate.

Step 6:
Add 1 tsp red chili powder, ½ tsp turmeric powder, 1 tsp coriander powder, ½ tsp cumin powder, and ½ tsp garam masala. Mix well and cook for 2 minutes.

Step 7:
Add ½ cup water and simmer the gravy for 5 minutes.

Step 8:
Add the grilled chicken tikka to the gravy and stir well. Cook for 5 minutes on low heat.

Step 9:
Crush 1 tbsp kasuri methi between your palms and add it to the curry. Pour in ¼ cup fresh cream and mix well. Simmer for 2 minutes.

Step 10:
Garnish with fresh coriander leaves and serve hot with naan, roti, or steamed rice.",Punjab,https://i.ndtvimg.com/i/2017-03/fish-tikka_725x483_51488522042.jpg,,,,,,
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,main course,"Step 1 (Chole):
Pressure cook 1 cup soaked chickpeas with 3 cups water and salt for 4-5 whistles until soft.

Step 2:
Heat 2 tbsp oil, add 1 tsp cumin seeds. Add 1 chopped onion and sauté until golden brown.

Step 3:
Add 1 tsp ginger-garlic paste, 1 chopped green chili, and sauté for 1 min.

Step 4:
Add 2 chopped tomatoes, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and 1 tsp cumin powder. Cook until oil separates.

Step 5:
Add boiled chickpeas with water and simmer for 10-12 mins. Add 1 tsp chana masala and garnish with coriander leaves.

Step 6 (Bhature):
In a bowl, mix 2 cups all-purpose flour, 2 tbsp semolina, 1/2 tsp baking powder, 1/4 tsp baking soda, 1 tsp sugar, and 1/2 tsp salt.

Step 7:
Add 2 tbsp curd and 2 tbsp oil. Gradually add water and knead into a soft dough. Rest for 2 hours.

Step 8:
Divide into small balls, roll into round bhature.

Step 9:
Deep fry in hot oil until puffy and golden.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/07/chana-masala-1-500x500.jpg,,,,,,
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,dessert,"Step1: Mix wheat flour, semolina, and 2 tbsp ghee in a bowl. Add water and knead a stiff dough.
Step2: Shape the dough into small oval rolls (muthia).
Step3: Deep fry the muthia in ghee on low flame until golden and crisp. Let them cool.
Step4: Crush and grind the fried muthia into coarse powder (churma).
Step5: Add powdered sugar, cardamom powder, and chopped dry fruits. Mix well.
Step6: Pour melted ghee and mix until the mixture binds.
Step7: Shape into small laddus and serve.",Rajasthan,https://img-global.cpcdn.com/recipes/0fb165f208a6a369/1360x964cq70/churma-ladoo-recipe-atta-ladoo-recipe-main-photo.webp,,,,,,
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,dessert,"Step 1:
In a bowl, combine 1 cup grated coconut, ½ cup semolina (rava), 1 small finely chopped onion, 2 chopped green chilies, 1 tsp grated ginger, 1 tsp cumin seeds, 2 tbsp chopped coriander leaves, and salt to taste. Mix well.

Step 2:
Add a little water gradually to form a thick dough-like mixture. Let it rest for 10-15 minutes to allow the semolina to absorb the moisture.

Step 3:
Grease your hands with oil, take a small portion of the mixture, roll it into a ball, and flatten into a vada shape.

Step 4:
Heat oil in a pan and fry the vadas on medium flame until they turn golden and crispy.

Step 5:
Serve hot with coconut chutney or tomato ketchup.",Maharashtra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnKMsGx5DRkeOhz5U6ReOeiCSU-QWc-on-0OFEF3ymELGRe2hfrMdItXt1nTO-jhIThGg&usqp=CAU,,,,,,
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,main course,"Step 1 (Dal):
Boil 1/2 cup chana dal, 1/2 cup toor dal, and 1/4 cup moong dal with 3 cups water, turmeric, and salt in a pressure cooker for 3-4 whistles.

Step 2:
Heat 2 tbsp ghee, add 1 tsp cumin seeds. Add chopped onion, sauté till golden. Add 1 tsp ginger-garlic paste and 1 chopped green chili.

Step 3:
Add 2 chopped tomatoes, 1 tsp red chili powder, 1 tsp coriander powder, and cook till soft. Add boiled dal and simmer for 10 mins.

Step 4:
Sprinkle 1/2 tsp garam masala and garnish with coriander leaves.

Step 5 (Baati):
Mix 2 cups wheat flour, 1/4 cup semolina, 1/2 tsp salt, and 1/2 tsp ajwain. Add 1/4 cup ghee and knead with water into a stiff dough.

Step 6:
Make small round balls and bake at 180°C for 30-35 mins until golden.

Step 7 (Churma):
Mix 1 cup wheat flour, 2 tbsp semolina, and 2 tbsp ghee into crumbly dough. Make small balls and deep fry until golden.

Step 8:
Cool and crush into powder. Add 1/4 cup powdered sugar, 2 tbsp almonds, and 1/2 tsp cardamom powder.
",Rajasthan,https://www.ammakithaali.com/wp-content/uploads/2022/07/dalbtichrma-1024x576.jpg,,,,,,
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,main course,"Step 1 (Dal):
Pressure cook 1 cup toor dal with 4 cups water, 1 tsp turmeric powder, and salt for 3-4 whistles until soft.

Step 2:
Mash the dal, add chopped tomato, 2 tbsp peanuts, 1 tsp red chili powder, 1 tsp coriander powder, 1 tsp jaggery, and tamarind pulp. Simmer for 10 mins.

Step 3 (Dhokli):
Mix 1 cup wheat flour, 1/4 tsp turmeric powder, 1/4 tsp red chili powder, 1/2 tsp ajwain, salt, and 1 tsp oil. Knead into a firm dough.

Step 4:
Roll the dough thin and cut into small diamond or square shapes.

Step 5 (Cooking Dhokli):
Add the dhokli pieces directly into the boiling dal and cook on low flame for 10-12 mins, stirring occasionally.

Step 6 (Tempering):
Heat 2 tbsp ghee, add 1 tsp mustard seeds, 1 tsp cumin seeds, chopped green chili, curry leaves, and hing. Pour over the dal.

Step 7:
Garnish with coriander leaves and serve hot with ghee or pickle!",Gujarat,https://i0.wp.com/binjalsvegkitchen.com/wp-content/uploads/2019/01/H1.jpg?fit=600%2C904&ssl=1,,,,,,
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,snack,"Step 1: Soak 1 cup urad dal for 4-6 hours, grind into a smooth thick batter using little water.

Step 2: Add salt, 1 tsp grated ginger, 1-2 chopped green chilies, and 2 tbsp chopped coriander leaves to the batter, mix well.

Step 3: Heat oil, shape the batter into small balls, and deep fry until golden brown.

Step 4: Soak fried vadas in warm water for 15-20 minutes, then squeeze out extra water.

Step 5: Whisk 2 cups curd with ½ tsp salt, ½ tsp sugar, and ½ tsp roasted cumin powder until smooth.

Step 6: Place vadas in a bowl, pour curd mixture over them, and garnish with red chili powder, cumin powder, chaat masala, and coriander leaves.",Maharashtra,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Vada_Recipe-1.jpg,,,,,,
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,main course,"Step 1 (Boil Dal):
Pressure cook 1/2 cup urad dal and 1/4 cup rajma with 3 cups water and salt for 6-7 whistles until soft.

Step 2 (Tempering):
Heat 2 tbsp butter and 1 tbsp oil in a pan. Add 1 tsp cumin seeds and 1 bay leaf.

Step 3:
Add 1 chopped onion and sauté until golden brown. Add 1 tsp ginger-garlic paste and cook for 1 min.

Step 4:
Add pureed tomatoes, 1 tsp red chili powder, 1 tsp turmeric powder, 1 tsp coriander powder, and salt. Cook until oil separates.

Step 5:
Add the boiled dal and simmer for 20 mins on low flame, stirring occasionally.

Step 6:
Add 1/4 cup cream and 1/2 tsp garam masala. Cook for 5 mins more.

Step 7:
Garnish with fresh coriander leaves, butter, and cream.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2015/01/dal-makhani-recipe-restaurant-style-500x500.jpg,,,,,,
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,main course,"Step 1 (Boil Dal):
Rinse 1/2 cup toor dal and 1/4 cup moong dal. Pressure cook with 3 cups water, 1 tomato, 1 green chili, 1/2 tsp turmeric powder, and salt for 3-4 whistles until soft.

Step 2:
Mash the cooked dal and simmer for 5 mins on low flame.

Step 3 (Tadka):
Heat 2 tbsp ghee in a pan, add 1 tsp cumin seeds, 1 dry red chili, and asafoetida.

Step 4:
Add chopped onion and sauté until golden. Add 1 tsp ginger-garlic paste and few curry leaves. Cook for 1 min.

Step 5:
Add 1/2 tsp red chili powder and pour this tempering over the simmered dal.

Step 6:
Garnish with fresh coriander leaves.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/maa-chole-ki-dal-recipe-500x500.jpg,,,,,,
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,snack,"Step 1: In a bowl, mix 1 cup besan (gram flour), ½ cup curd, ½ cup water, ½ tsp turmeric powder, ½ tsp salt, and 1 tsp ginger-green chili paste to form a smooth batter.

Step 2: Add 1 tsp lemon juice and 1 tsp sugar to the batter, mix well and let it rest for 15-20 minutes.

Step 3: Just before steaming, add 1 tsp eno fruit salt or ½ tsp baking soda, mix gently.

Step 4: Pour the batter into a greased steaming plate and steam for 15-20 minutes on medium flame.

Step 5: In a small pan, heat 1 tbsp oil, add ½ tsp mustard seeds, few curry leaves, and 2 chopped green chilies, sauté for a few seconds.

Step 6: Pour the tempering over steamed dhokla and garnish with fresh coriander leaves and grated coconut.",Gujarat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeZtCo6ri9X2Bf7RtR3IXn4iRtBMpexqUEXg&s,,,,,,
Plain Dosa,"Rice, urad dal, fenugreek seeds, salt, water, oil, poha (optional), cooked rice (optional).",vegetarian,snack,"Step 1: Soak 1 cup rice, ½ cup urad dal, and ¼ tsp fenugreek seeds in water for 4-6 hours.

Step 2: Grind soaked ingredients into a smooth batter, add salt and let it ferment overnight for 8-12 hours.

Step 3: Stir the fermented batter and add little water if needed to get a pouring consistency.

Step 4: Heat a tawa, pour a ladleful of batter, and spread it in a circular motion to form a thin dosa.

Step 5: Drizzle oil or ghee around the edges and cook until golden and crispy.

Step 6: Fold and serve hot with coconut chutney and sambar! ",Tamil Nadu,https://www.awesomecuisine.com/wp-content/uploads/2009/06/Plain-Dosa.jpg,,,,,,
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,main course,"Step 1:
Heat 2 tbsp oil in a pan, shallow fry boiled baby potatoes until golden brown. Keep aside.

Step 2:
In the same pan, add 1 tsp cumin seeds and 1 bay leaf. Sauté for 30 secs.

Step 3:
Add chopped onion and sauté until golden brown. Add 1 tsp ginger-garlic paste and cook for 1 min.

Step 4:
Add tomato puree, 1 tsp turmeric powder, 1 tsp red chili powder, and 1 tsp coriander powder. Cook until oil separates.

Step 5:
Lower the flame, add whisked curd gradually while stirring.

Step 6:
Add fried potatoes, salt, and 1/2 cup water. Cover and simmer for 10 mins on low flame.

Step 7:
Add 1/2 tsp garam masala and 2 tbsp fresh cream. Cook for 2 mins more.

Step 8:
Garnish with fresh coriander leaves.
",Jammu & Kashmir,https://sinfullyspicy.com/wp-content/uploads/2024/01/1200-by-1200-images-3.jpg,,,,,,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,dessert,"Step 1:
Wash, peel, and grate 1 kg carrots (gajar).

Step 2:
Heat 2 tbsp ghee in a pan, add grated carrots, and sauté for 5-7 minutes on medium flame until they become soft.

Step 3:
Pour 1 liter milk into the pan and cook on low flame, stirring occasionally, until the milk starts reducing.

Step 4:
Once the milk is reduced to half, add 1 cup sugar and mix well. Cook until the mixture thickens.

Step 5:
Add ½ tsp cardamom powder and 2 tbsp chopped dry fruits (almonds, cashews) and cook for another 5-7 minutes.

Step 6:
Turn off the flame and garnish with more dry fruits.

Step 7:
Serve hot or chilled as per your choice.",Punjab,https://www.crazymasalafood.com/wp-content/images/carrot-halwa-1.jpg,,,,,,
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,dessert,"Step 1:
In a bowl, mix 1 cup all-purpose flour (maida), 2 tbsp ghee, and a pinch of saffron or yellow food color.

Step 2:
Add ½ cup cold milk and mix well to form a smooth batter. Gradually add 1 cup chilled water to make a thin, flowing consistency batter.

Step 3:
Heat ghee or oil in a deep pan for frying. Pour a small ladle of batter from a height into the hot ghee in the center. The batter will spread on its own.

Step 4:
Let it cook on medium flame until golden and crispy. Remove and drain excess oil.

Step 5:
In another pan, prepare sugar syrup by boiling 1 cup sugar and ½ cup water until it forms a 1-string consistency. Add ½ tsp cardamom powder.

Step 6:
Dip the fried ghevar in sugar syrup or pour the syrup over it.

Step 7:
Garnish with chopped dry fruits, saffron strands, and silver vark.

Step 8:
Serve chilled or at room temperature.",Rajasthan,https://www.crazymasalafood.com/wp-content/images/ghevar-2.jpg,,,,,,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,dessert,"Step 1:
In a bowl, mix 1 cup milk powder, ¼ cup all-purpose flour (maida), 2 tbsp ghee, and a pinch of baking soda.

Step 2:
Add 2-3 tbsp milk gradually and knead into a soft dough. Let it rest for 10 minutes.

Step 3:
Divide the dough into small balls without cracks and keep aside.

Step 4:
Heat oil or ghee on low flame and fry the balls until they turn golden brown.

Step 5:
In another pan, prepare sugar syrup by boiling 1 cup sugar, 1 cup water, and 2-3 cardamom pods for 10 minutes. Add rose water or saffron strands.

Step 6:
Dip the fried gulab jamuns in hot sugar syrup for at least 1-2 hours.

Step 7:
Serve warm or chilled with garnished chopped dry fruits.",West Bengal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2vUnd--NgSJmc_qL1AbfbqxkzxefvLpX9n7b8_vV7AmrSihT5qo1Vkgyu85VwcDGWSBE&usqp=CAU,,,,,,
